Filename                                       Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
polyml-src/libpolyml/run_time.cpp                  175               102    41.71%          24                14    41.67%         197               124    37.06%          64                36    43.75%
polyml-src/libpolyml/run_time.h                      9                 8    11.11%           7                 6    14.29%           7                 6    14.29%           2                 2     0.00%
polyml-src/libpolyml/save_vec.cpp                   15                 1    93.33%           5                 0   100.00%          21                 1    95.24%           4                 1    75.00%
polyml-src/libpolyml/save_vec.h                      8                 1    87.50%           8                 1    87.50%          10                 1    90.00%           0                 0         -
polyml-src/libpolyml/savestate.cpp                 583               583     0.00%          29                29     0.00%         790               790     0.00%         316               316     0.00%
polyml-src/libpolyml/savestate.h                     2                 2     0.00%           2                 2     0.00%           2                 2     0.00%           0                 0         -
polyml-src/libpolyml/scanaddrs.cpp                 137                67    51.09%           7                 1    85.71%         211                88    58.29%         108                58    46.30%
polyml-src/libpolyml/scanaddrs.h                     5                 1    80.00%           5                 1    80.00%           5                 1    80.00%           0                 0         -
polyml-src/libpolyml/sharedata.cpp                 396               396     0.00%          44                44     0.00%         531               531     0.00%         226               226     0.00%
polyml-src/libpolyml/sighandler.cpp                106                34    67.92%          17                 2    88.24%         241                58    75.93%          56                26    53.57%
polyml-src/libpolyml/statistics.cpp                305               124    59.34%          29                12    58.62%         457               174    61.93%         156                96    38.46%
polyml-src/libpolyml/timing.cpp                    202               165    18.32%          21                12    42.86%         356               270    24.16%          78                68    12.82%
polyml-src/libpolyml/timing.h                        5                 0   100.00%           5                 0   100.00%           5                 0   100.00%           0                 0         -
polyml-src/libpolyml/unix_specific.cpp             656               655     0.15%          20                19     5.00%         979               973     0.61%         370               370     0.00%
polyml-src/libpolyml/xwindows.cpp                    8                 8     0.00%           2                 2     0.00%          13                13     0.00%           0                 0         -

Files which contain no functions:
build/polyml-coverage/config.h                       0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/arb.h                           0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/check_objects.h                 0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/diagnostics.h                   0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/int_opcodes.h                   0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/io_internal.h                   0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/reals.h                         0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/statistics.h                    0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/sys.h                           0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/libpolyml/version.h                       0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/polyexports.h                             0                 0         -           0                 0         -           0                 0         -           0                 0         -
polyml-src/polystatistics.h                          0                 0         -           0                 0         -           0                 0         -           0                 0         -
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL                                            12463              8902    28.57%        1210               681    43.72%       19040             13487    29.16%        7286              5428    25.50%
